elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
21544,cs_resurf,2023,2612.5,"OGPA, function: R, on date: 2023-07-12",committed-16_1192_2250_R1
21545,cs_resurf,2023,2612.5,"OGPA, function: R, on date: 2023-07-12",committed-16_1192_2250_R2
21546,cs_resurf,2023,2850,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_2800_R1
21547,cs_resurf,2023,2850,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_2800_R2
21548,cs_resurf,2023,3467.5,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_3400_R1
21549,cs_resurf,2023,3467.5,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_3400_R2
21550,cs_resurf,2023,1040,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_4130_R1
21551,cs_resurf,2023,1040,"OGPA, function: R, on date: 2023-11-21",committed-16_1192_4130_R2
21568,cs_resurf,2023,2060,"OGPA, function: R, on date: 2023-07-07",committed-16_1192_6235_R1
21569,cs_resurf,2023,2060,"OGPA, function: R, on date: 2023-07-07",committed-16_1192_6235_R2
21570,cs_resurf,2023,2060,"OGPA, function: R, on date: 2023-07-07",committed-16_1192_6235_R3
21571,cs_resurf,2023,2060,"OGPA, function: R, on date: 2023-07-07",committed-16_1192_6235_R4
21572,cs_resurf,2023,1788,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_6750_R1
21573,cs_resurf,2023,1788,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_6750_R2
21574,cs_resurf,2023,1788,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_6750_R3
21575,cs_resurf,2023,752,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_7197_R1
21576,cs_resurf,2023,752,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_7197_R2
21577,cs_resurf,2023,752,"OGPA, function: R, on date: 2023-07-31",committed-16_1192_7197_R3
21578,cs_resurf,2023,393.75,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7385_R1
21579,cs_resurf,2023,393.75,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7385_R2
21580,cs_resurf,2023,157.5,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7460_R1
21581,cs_resurf,2023,157.5,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7460_R2
21582,cs_resurf,2023,462,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7490_R1
21583,cs_resurf,2023,462,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7490_R2
21584,cs_resurf,2023,488.25,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7578_R1
21585,cs_resurf,2023,488.25,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7578_R2
21586,cs_resurf,2023,1286.25,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7671_R1
21587,cs_resurf,2023,1286.25,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7671_R2
21588,cs_resurf,2023,703.5,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7916_R1
21589,cs_resurf,2023,703.5,"OGPA, function: R, on date: 2023-07-18",committed-16_1192_7916_R2
21695,cs_resurf,2023,283.3333333,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5140_R1
21696,cs_resurf,2023,283.3333333,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5140_R2
21697,cs_resurf,2023,283.3333333,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5140_R3
21698,cs_resurf,2023,280,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5208_R1
21699,cs_resurf,2023,280,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5208_R2
21700,cs_resurf,2023,724.5,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5288_R1
21701,cs_resurf,2023,724.5,"OGPA, function: R, on date: 2023-07-11",committed-16_1194_5288_R2
21717,ac_resurf,2023,1690.5,"UTA, function: R, on date: 2023-11-10",committed-16_1198_1970_All
21739,cs_resurf,2023,4314.2,"2CHIP, function: 2, on date: 2023-03-23",committed-16_1198_7400_All
21755,ac_resurf,2023,950,"UTA, function: R, on date: 2023-05-17",committed-16_1199_0_All
21781,ac_resurf,2023,277.5,"UTA, function: R, on date: 2023-06-09",committed-16_1199_4840_L1
21782,ac_resurf,2023,277.5,"UTA, function: R, on date: 2023-06-09",committed-16_1199_4840_L2
21783,ac_resurf,2023,277.5,"UTA, function: R, on date: 2023-06-09",committed-16_1199_4840_R1
21784,ac_resurf,2023,277.5,"UTA, function: R, on date: 2023-06-09",committed-16_1199_4840_R2
21789,ac_resurf,2023,277.5,"UTA, function: R, on date: 2023-05-24",committed-16_1199_4941_R2
21811,cs_resurf,2023,3204,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_388_L1
21812,cs_resurf,2023,3204,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_388_L2
21813,cs_resurf,2023,4072.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_1100_L1
21814,cs_resurf,2023,4072.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_1100_L2
21815,cs_resurf,2023,3186,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2005_L1
21816,cs_resurf,2023,3186,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2005_L2
21817,cs_resurf,2023,841.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2713_L1
21818,cs_resurf,2023,841.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2713_L2
21819,cs_resurf,2023,958.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2900_L1
21820,cs_resurf,2023,958.5,"OGPA, function: R, on date: 2023-11-03",committed-16_1202_2900_L2
21821,cs_resurf,2023,4081.5,"OGPA, function: R, on date: 2023-09-20",committed-16_1202_3113_L1
21822,cs_resurf,2023,4081.5,"OGPA, function: R, on date: 2023-09-20",committed-16_1202_3113_L2
21929,cs_resurf,2023,1274.1,"OGPA, function: R, on date: 2023-09-14",committed-16_1203_9206_R1
21930,cs_resurf,2023,1274.1,"OGPA, function: R, on date: 2023-09-14",committed-16_1203_9206_R2
21941,cs_resurf,2023,1201.5,"OGPA, function: R, on date: 2023-07-07",committed-16_1203_12052_R1
21942,cs_resurf,2023,1201.5,"OGPA, function: R, on date: 2023-07-07",committed-16_1203_12052_R2
21943,cs_resurf,2023,589.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12319_R1
21944,cs_resurf,2023,589.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12319_R2
21945,cs_resurf,2023,1462.5,"OGPA, function: R, on date: 2023-12-01",committed-16_1203_12450_R1
